Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.9747,0.081961,40.825577,5338.398589,53.383959,0.0,0.5,0.314421,0.896106
2.0,0.9853,0.045518,40.825577,5338.398615,53.383959,0.0,0.5,0.07056,0.977796
3.0,0.9858,0.042199,40.825577,5338.398618,53.383959,0.0,0.5,0.038511,0.987552
4.0,0.9884,0.038083,40.825577,5338.39862,53.383959,0.0,0.5,0.023821,0.992572
5.0,0.9894,0.034715,40.825577,5338.398622,53.383959,0.0,0.5,0.02274,0.992986
6.0,0.9893,0.036799,40.825577,5338.398624,53.383959,0.0,0.5,0.0155,0.99518
7.0,0.9897,0.037724,40.825577,5338.398626,53.383959,0.0,0.5,0.006728,0.998066
8.0,0.9894,0.036038,40.825577,5338.398628,53.383959,0.0,0.5,0.011548,0.996273
9.0,0.9897,0.034436,40.825577,5338.398631,53.383959,0.0,0.5,0.011417,0.996333
10.0,0.9896,0.037705,40.825577,5338.398634,53.383959,0.0,0.5,0.005608,0.998213
11.0,0.9899,0.036604,40.825577,5338.398636,53.383959,0.0,0.5,0.006969,0.99784
12.0,0.9897,0.038417,40.825577,5338.398639,53.383959,0.0,0.5,0.004356,0.998713
13.0,0.9904,0.03544,40.825577,5338.398641,53.383959,0.0,0.5,0.00613,0.998133
14.0,0.9908,0.037328,40.825577,5338.398644,53.383959,0.0,0.5,0.002495,0.999347
15.0,0.99,0.037067,40.825577,5338.398648,53.383959,0.0,0.5,0.00464,0.998606
16.0,0.9906,0.036674,40.825577,5338.398651,53.383959,0.0,0.5,0.002663,0.999147
17.0,0.9901,0.037685,40.825577,5338.398654,53.383959,0.0,0.5,0.002523,0.999313
18.0,0.9902,0.035699,40.825577,5338.398657,53.383959,0.0,0.5,0.003948,0.998913
19.0,0.9909,0.035004,40.825577,5338.398661,53.383959,0.0,0.5,0.001571,0.999613
20.0,0.9909,0.037991,40.825577,5338.398664,53.383959,0.0,0.5,0.000664,0.99986
21.0,0.9914,0.035554,40.825577,5338.398667,53.383959,0.0,0.5,0.002574,0.99928
22.0,0.9914,0.036772,40.825577,5338.398671,53.383959,0.0,0.5,0.000365,0.999987
23.0,0.9912,0.037213,40.825577,5338.398674,53.383959,0.0,0.5,0.0024,0.999247
24.0,0.9913,0.035247,40.825577,5338.398678,53.383959,0.0,0.5,0.00267,0.999247
