Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.4972,1.735118,40.825577,10215.533153,102.155296,0.0,0.5,0.172535,0.941723
2.0,0.5869,3.150578,40.825577,10215.533164,102.155296,0.0,0.5,0.081787,0.974443
3.0,0.7975,0.546238,40.825577,10215.533167,102.155296,0.0,0.5,0.053522,0.984792
4.0,0.9268,0.225425,40.825577,10215.533169,102.155296,0.0,0.5,0.02101,0.993636
5.0,0.8492,0.504894,40.825577,10215.533249,102.155296,0.0,0.5,0.01174,0.996442
6.0,0.9637,0.117404,40.825577,10215.533252,102.155296,0.0,0.5,0.015828,0.99507
7.0,0.9581,0.1433,40.825577,10215.533255,102.155296,0.0,0.5,0.005749,0.998431
8.0,0.97,0.100641,40.825577,10215.533258,102.155296,0.0,0.5,0.003667,0.998927
9.0,0.9724,0.099902,40.825577,10215.533261,102.155296,0.0,0.5,0.0048,0.9985
10.0,0.8598,0.53075,40.825577,10215.533264,102.155296,0.0,0.5,0.01035,0.996895
11.0,0.9643,0.126463,40.825577,10215.533267,102.155296,0.0,0.5,0.005116,0.998369
12.0,0.953,0.183497,40.825577,10215.533271,102.155296,0.0,0.5,0.001913,0.999621
13.0,0.8509,0.638118,40.825577,10215.533275,102.155296,0.0,0.5,0.002251,0.99925
14.0,0.9265,0.270191,40.825577,10215.533278,102.155296,0.0,0.5,0.013745,0.995492
15.0,0.8668,0.50221,40.825577,10215.533282,102.155296,0.0,0.5,0.010713,0.996481
16.0,0.9261,0.333696,40.825577,10215.533285,102.155296,0.0,0.5,0.005632,0.998404
17.0,0.978,0.075664,40.825577,10215.53329,102.155296,0.0,0.5,0.003745,0.998774
18.0,0.9667,0.12503,40.825577,10215.533296,102.155296,0.0,0.5,0.002147,0.999495
19.0,0.9139,0.35211,40.825577,10215.533301,102.155296,0.0,0.5,0.002815,0.999098
20.0,0.9514,0.186364,40.825577,10215.533305,102.155296,0.0,0.5,0.003004,0.999076
21.0,0.9653,0.128546,40.825577,10215.533309,102.155296,0.0,0.5,0.00165,0.999523
22.0,0.9392,0.249701,40.825577,10215.533313,102.155296,0.0,0.5,0.003866,0.998297
23.0,0.9756,0.101497,40.825577,10215.533318,102.155296,0.0,0.5,0.001928,0.999477
24.0,0.9739,0.106579,40.825577,10215.533322,102.155296,0.0,0.5,0.000981,0.999693
25.0,0.9627,0.161067,40.825577,10215.533328,102.155296,0.0,0.5,0.000846,0.999748
26.0,0.9815,0.068812,40.825577,10215.533333,102.155296,0.0,0.5,0.001282,0.999667
27.0,0.9184,0.369646,40.825577,10215.533338,102.155296,0.0,0.5,0.000586,0.999955
28.0,0.959,0.16628,40.825577,10215.533343,102.155296,0.0,0.5,0.001408,0.999615
29.0,0.9232,0.353825,40.825577,10215.533348,102.155296,0.0,0.5,0.000808,0.99991
30.0,0.9774,0.095384,40.825577,10215.533353,102.155296,0.0,0.5,0.00254,0.999304
31.0,0.9469,0.25376,40.825577,10215.533358,102.155296,0.0,0.5,0.001048,0.999719
32.0,0.9822,0.078779,40.825577,10215.533363,102.155296,0.0,0.5,0.000802,0.999782
33.0,0.9824,0.082892,40.825577,10215.533369,102.155296,0.0,0.5,0.000298,0.999927
34.0,0.9828,0.075448,40.825577,10215.533375,102.155296,0.0,0.5,0.000195,0.999979
35.0,0.9807,0.088999,40.825577,10215.53338,102.155296,0.0,0.5,0.000209,0.999992
36.0,0.984,0.070368,40.825577,10215.533386,102.155296,0.0,0.5,0.000174,0.999987
37.0,0.9829,0.069902,40.825577,10215.533391,102.155296,0.0,0.5,0.000235,0.999988
38.0,0.9733,0.135463,40.825577,10215.533397,102.155296,0.0,0.5,0.000325,0.999897
39.0,0.9835,0.071305,40.825577,10215.533403,102.155296,0.0,0.5,0.000955,0.999712
40.0,0.9842,0.077527,40.825577,10215.533409,102.155296,0.0,0.5,0.000207,0.999951
41.0,0.9645,0.17717,40.825577,10215.533422,102.155296,0.0,0.5,0.000277,1.0
42.0,0.9815,0.091706,40.825577,10215.53343,102.155296,0.0,0.5,0.000393,0.999894
43.0,0.9842,0.078853,40.825577,10215.533436,102.155296,0.0,0.5,0.000222,0.99996
44.0,0.9704,0.165126,40.825577,10215.533443,102.155296,0.0,0.5,0.000257,1.0
45.0,0.9721,0.155841,40.825577,10215.53345,102.155296,0.0,0.5,0.000395,0.99985
46.0,0.9806,0.098545,40.825577,10215.533456,102.155296,0.0,0.5,0.000825,0.999706
47.0,0.9812,0.094628,40.825577,10215.533463,102.155296,0.0,0.5,0.000142,0.999982
48.0,0.9851,0.072052,40.825577,10215.53347,102.155296,0.0,0.5,0.000117,1.0
49.0,0.9785,0.106738,40.825577,10215.533477,102.155296,0.0,0.5,0.000126,1.0
50.0,0.9824,0.088183,40.825577,10215.533484,102.155296,0.0,0.5,0.000127,1.0
51.0,0.983,0.088132,40.825577,10215.533491,102.155296,0.0,0.5,0.000137,1.0
52.0,0.9771,0.113792,40.825577,10215.533498,102.155296,0.0,0.5,0.000124,1.0
53.0,0.9854,0.079055,40.825577,10215.533512,102.155296,0.0,0.5,0.000117,0.999992
54.0,0.9872,0.070784,40.825577,10215.533523,102.155296,0.0,0.5,8.4e-05,1.0
55.0,0.9771,0.123885,40.825577,10215.53353,102.155296,0.0,0.5,0.000123,1.0
56.0,0.9864,0.06854,40.825577,10215.533544,102.155296,0.0,0.5,0.000141,1.0
57.0,0.9844,0.079513,40.825577,10215.533552,102.155296,0.0,0.5,0.000125,1.0
58.0,0.9828,0.093102,40.825577,10215.53356,102.155296,0.0,0.5,0.000181,0.999963
59.0,0.9861,0.073709,40.825577,10215.533568,102.155296,0.0,0.5,0.000118,0.999966
60.0,0.9859,0.07371,40.825577,10215.53358,102.155296,0.0,0.5,5.8e-05,1.0
61.0,0.9626,0.194447,40.825577,10215.533589,102.155296,0.0,0.5,0.000112,1.0
62.0,0.9827,0.093402,40.825577,10215.533597,102.155296,0.0,0.5,0.000499,0.999841
63.0,0.9824,0.095907,40.825577,10215.533605,102.155296,0.0,0.5,6.3e-05,1.0
64.0,0.9775,0.122055,40.825577,10215.533615,102.155296,0.0,0.5,6.8e-05,0.999985
65.0,0.9869,0.068181,40.825577,10215.533626,102.155296,0.0,0.5,0.000126,1.0
66.0,0.9837,0.086334,40.825577,10215.53364,102.155296,0.0,0.5,6.2e-05,1.0
67.0,0.9835,0.089784,40.825577,10215.533649,102.155296,0.0,0.5,8e-05,1.0
68.0,0.9798,0.109691,40.825577,10215.533658,102.155296,0.0,0.5,5.7e-05,1.0
69.0,0.9834,0.095761,40.825577,10215.533667,102.155296,0.0,0.5,9.8e-05,1.0
70.0,0.9827,0.098667,40.825577,10215.533676,102.155296,0.0,0.5,4.3e-05,1.0
71.0,0.9851,0.086394,40.825577,10215.533685,102.155296,0.0,0.5,6.7e-05,1.0
72.0,0.9824,0.097903,40.825577,10215.533695,102.155296,0.0,0.5,0.000105,0.999981
73.0,0.9862,0.084925,40.825577,10215.533704,102.155296,0.0,0.5,0.00014,0.999976
74.0,0.9675,0.175243,40.825577,10215.533714,102.155296,0.0,0.5,0.000119,1.0
75.0,0.9845,0.067034,40.825577,10215.533723,102.155296,0.0,0.5,0.002659,0.999383
76.0,0.9799,0.097816,40.825577,10215.533733,102.155296,0.0,0.5,0.000221,0.999966
77.0,0.9866,0.064758,40.825577,10215.533744,102.155296,0.0,0.5,0.000207,1.0
78.0,0.9812,0.103938,40.825577,10215.533762,102.155296,0.0,0.5,0.000115,1.0
79.0,0.9866,0.064364,40.825577,10215.533772,102.155296,0.0,0.5,0.00011,0.99998
80.0,0.9861,0.069461,40.825577,10215.533782,102.155296,0.0,0.5,8.3e-05,1.0
81.0,0.9849,0.084185,40.825577,10215.533792,102.155296,0.0,0.5,9.9e-05,1.0
82.0,0.9647,0.178279,40.825577,10215.533803,102.155296,0.0,0.5,0.000102,1.0
83.0,0.9774,0.12748,40.825577,10215.533813,102.155296,0.0,0.5,0.000349,0.999866
84.0,0.9831,0.087239,40.825577,10215.533824,102.155296,0.0,0.5,0.000252,0.999963
85.0,0.9861,0.071217,40.825577,10215.533834,102.155296,0.0,0.5,0.000186,0.999952
86.0,0.9708,0.144224,40.825577,10215.533845,102.155296,0.0,0.5,0.000152,1.0
87.0,0.9823,0.093296,40.825577,10215.533856,102.155296,0.0,0.5,0.001196,0.999626
88.0,0.9865,0.073403,40.825577,10215.533867,102.155296,0.0,0.5,0.000124,0.999992
89.0,0.9829,0.087811,40.825577,10215.533878,102.155296,0.0,0.5,0.0001,1.0
90.0,0.9865,0.070609,40.825577,10215.53389,102.155296,0.0,0.5,6.6e-05,1.0
91.0,0.9869,0.069272,40.825577,10215.533901,102.155296,0.0,0.5,5.5e-05,1.0
92.0,0.9872,0.06956,40.825577,10215.533912,102.155296,0.0,0.5,5.1e-05,1.0
93.0,0.9865,0.072344,40.825577,10215.533925,102.155296,0.0,0.5,7.1e-05,1.0
94.0,0.9861,0.074558,40.825577,10215.533939,102.155296,0.0,0.5,7.4e-05,1.0
95.0,0.9766,0.130038,40.825577,10215.533951,102.155296,0.0,0.5,9e-05,1.0
96.0,0.984,0.08896,40.825577,10215.533963,102.155296,0.0,0.5,0.00017,0.999953
97.0,0.9797,0.112595,40.825577,10215.533975,102.155296,0.0,0.5,0.00015,1.0
98.0,0.9872,0.073148,40.825577,10215.533987,102.155296,0.0,0.5,0.000108,0.999992
