Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.3247,2.01506,204.237747,7613.12861,76.131247,0.0,0.5,1.475544,0.482973
2.0,0.4071,1.63203,204.237747,7613.12862,76.131247,0.0,0.5,1.143879,0.605068
3.0,0.4471,1.493146,204.237747,7613.128623,76.131247,0.0,0.5,0.909279,0.680693
4.0,0.4949,1.379123,204.237747,7613.128626,76.131247,0.0,0.5,0.772079,0.727719
5.0,0.5354,1.306557,204.237747,7613.128629,76.131247,0.0,0.5,0.645117,0.775468
6.0,0.5353,1.356757,204.237747,7613.128632,76.131247,0.0,0.5,0.518182,0.820643
7.0,0.5625,1.257659,204.237747,7613.128634,76.131247,0.0,0.5,0.528053,0.817976
8.0,0.5763,1.292786,204.237747,7613.128638,76.131247,0.0,0.5,0.39593,0.86559
9.0,0.5898,1.25954,204.237747,7613.128641,76.131247,0.0,0.5,0.362356,0.877346
10.0,0.5886,1.280711,204.237747,7613.128645,76.131247,0.0,0.5,0.296393,0.900888
11.0,0.6097,1.214518,204.237747,7613.128649,76.131247,0.0,0.5,0.276253,0.907552
12.0,0.5938,1.283909,204.237747,7613.128652,76.131247,0.0,0.5,0.26968,0.910176
13.0,0.6012,1.270052,204.237747,7613.128655,76.131247,0.0,0.5,0.225792,0.926161
14.0,0.6245,1.197417,204.237747,7613.128659,76.131247,0.0,0.5,0.227481,0.923912
15.0,0.6245,1.235994,204.237747,7613.128663,76.131247,0.0,0.5,0.188876,0.93761
16.0,0.6105,1.352013,204.237747,7613.128666,76.131247,0.0,0.5,0.155913,0.950148
17.0,0.6181,1.236396,204.237747,7613.128672,76.131247,0.0,0.5,0.169667,0.944262
18.0,0.625,1.223088,204.237747,7613.128676,76.131247,0.0,0.5,0.212023,0.930932
19.0,0.6215,1.251698,204.237747,7613.12868,76.131247,0.0,0.5,0.186906,0.939508
20.0,0.6367,1.211998,204.237747,7613.128685,76.131247,0.0,0.5,0.158975,0.948615
21.0,0.6351,1.241559,204.237747,7613.12869,76.131247,0.0,0.5,0.135613,0.956747
22.0,0.6315,1.279329,204.237747,7613.128694,76.131247,0.0,0.5,0.134734,0.957343
23.0,0.6203,1.363791,204.237747,7613.128698,76.131247,0.0,0.5,0.110854,0.964725
24.0,0.6327,1.35775,204.237747,7613.128703,76.131247,0.0,0.5,0.113701,0.963832
25.0,0.6309,1.375585,204.237747,7613.128708,76.131247,0.0,0.5,0.088942,0.972023
26.0,0.6426,1.35169,204.237747,7613.128717,76.131247,0.0,0.5,0.090721,0.972037
27.0,0.6437,1.297594,204.237747,7613.128721,76.131247,0.0,0.5,0.100206,0.968247
28.0,0.6391,1.285803,204.237747,7613.128726,76.131247,0.0,0.5,0.111677,0.965486
29.0,0.6358,1.368069,204.237747,7613.128731,76.131247,0.0,0.5,0.09701,0.969603
30.0,0.6369,1.397507,204.237747,7613.128736,76.131247,0.0,0.5,0.073266,0.977502
31.0,0.6423,1.344619,204.237747,7613.128741,76.131247,0.0,0.5,0.081247,0.97443
32.0,0.6375,1.428981,204.237747,7613.128746,76.131247,0.0,0.5,0.075538,0.977293
