Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.318,2.1062157257080076,18.4210205078125,17.905346870422363,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
2,0.36,1.9194528133392335,36.842041015625,35.5913941860199,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
3,0.4315,1.7037497314453125,55.2630615234375,53.16962218284607,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
4,0.4508,1.5970289154052735,73.68408203125,71.5063374042511,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
5,0.4741,1.51615180683136,92.1051025390625,88.557537317276,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
6,0.4902,1.4605781089782714,110.526123046875,105.95382142066956,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
7,0.5112,1.402063264656067,128.9471435546875,122.73609042167664,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
8,0.5283,1.3615003700256347,147.3681640625,138.80060815811157,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
9,0.5406,1.3374950273513795,165.7891845703125,156.8409938812256,0.2,0.8,OORT_SIM,CIFAR10,50,0.5
10,0.5366,1.3163484382629393,184.210205078125,173.8019335269928,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
11,0.5467,1.2983958122253418,202.6312255859375,190.16240167617798,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
12,0.558,1.2733345287323,221.05224609375,208.0124866962433,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
13,0.5744,1.2312729864120484,239.4732666015625,223.07752442359924,0.2,0.8,OORT_SIM,CIFAR10,50,0.5
14,0.5704,1.227894596862793,257.894287109375,239.89646315574646,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
15,0.5864,1.1869926986694337,276.3153076171875,257.7747838497162,0.075,0.8,OORT_SIM,CIFAR10,50,0.5
16,0.5889,1.1755912548065186,294.736328125,274.5591833591461,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
17,0.6029,1.1484025611877442,313.1573486328125,291.45058584213257,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
18,0.602,1.1442846843719483,331.578369140625,309.45137119293213,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
19,0.6043,1.1272254043579102,349.9993896484375,326.47687578201294,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
20,0.6156,1.1095328323364257,368.42041015625,343.36853528022766,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
21,0.6152,1.1047111053466796,386.8414306640625,360.09435534477234,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
22,0.6249,1.0720351650238038,405.262451171875,376.7124893665314,0.075,0.8,OORT_SIM,CIFAR10,50,0.5
23,0.6247,1.069520481967926,423.6834716796875,392.735458612442,0.1,0.8,OORT_SIM,CIFAR10,50,0.5
24,0.629,1.0665316585540772,442.1044921875,410.32412791252136,0.2,0.8,OORT_SIM,CIFAR10,50,0.5
25,0.6259,1.0635288040161133,460.5255126953125,427.26877903938293,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
26,0.635,1.0407650403022766,478.946533203125,445.01098799705505,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
27,0.638,1.0405747292518617,497.3675537109375,461.5505430698395,0.1,0.8,OORT_SIM,CIFAR10,50,0.5
28,0.6442,1.026168550491333,515.78857421875,478.21438097953796,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
29,0.636,1.0382263927459716,534.2095947265625,495.71885776519775,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
30,0.6468,1.0143322277069091,552.630615234375,513.7902626991272,0.075,0.8,OORT_SIM,CIFAR10,50,0.5
31,0.6508,1.0079378147125244,571.0516357421875,531.3153395652771,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
32,0.6446,1.0133240348815917,589.47265625,549.4374408721924,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
33,0.649,1.005478542137146,607.8936767578125,566.4251763820648,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
34,0.6487,1.015678901863098,626.314697265625,583.7943217754364,0.225,0.8,OORT_SIM,CIFAR10,50,0.5
35,0.6553,0.9901642471313477,644.7357177734375,601.6324934959412,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
36,0.6546,0.9969016353607177,663.15673828125,618.7282984256744,0.2,0.8,OORT_SIM,CIFAR10,50,0.5
37,0.6553,0.9879305689811707,681.5777587890625,636.656699180603,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
38,0.6575,0.9930886067390442,699.998779296875,653.9510879516602,0.2,0.8,OORT_SIM,CIFAR10,50,0.5
39,0.6536,0.9863359861373902,718.4197998046875,671.7755842208862,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
40,0.6566,0.9896690975189208,736.8408203125,689.1349771022797,0.1,0.8,OORT_SIM,CIFAR10,50,0.5
41,0.6572,0.9818859107017517,755.2618408203125,705.8639936447144,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
42,0.6596,0.9784444046020507,773.682861328125,722.8658037185669,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
43,0.6584,0.982908333492279,792.1038818359375,740.4681782722473,0.1,0.8,OORT_SIM,CIFAR10,50,0.5
44,0.6624,0.977031132888794,810.52490234375,757.0737888813019,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
45,0.6615,0.9769126020431519,828.9459228515625,775.5631251335144,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
46,0.6593,0.9851225595474243,847.366943359375,792.4704813957214,0.175,0.8,OORT_SIM,CIFAR10,50,0.5
47,0.6637,0.9679630100250244,865.7879638671875,807.7302041053772,0.25,0.8,OORT_SIM,CIFAR10,50,0.5
48,0.6674,0.9629134738922119,884.208984375,824.8214271068573,0.125,0.8,OORT_SIM,CIFAR10,50,0.5
49,0.6661,0.9658136123657226,902.6300048828125,841.7867450714111,0.15,0.8,OORT_SIM,CIFAR10,50,0.5
50,0.6687,0.9672914852142334,921.051025390625,859.129825592041,0.1,0.8,OORT_SIM,CIFAR10,50,0.5
