Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Round Time (s),Straggler Ratio,Participation Rate,Train Loss,Train Accuracy
1.0,0.0982,73.464239,40.825577,6980.66076,69.80657,0.0,0.5,0.011918,0.998106
2.0,0.2891,2.920575,40.825577,6980.660775,69.80657,0.0,0.5,0.072844,0.986905
3.0,0.2837,8.169598,40.825577,6980.660777,69.80657,0.0,0.5,0.028495,0.993262
4.0,0.1191,15.684001,40.825577,6980.660779,69.80657,0.0,0.5,0.003022,0.999471
5.0,0.1135,25.673804,40.825577,6980.660781,69.80657,0.0,0.5,0.059942,0.994115
6.0,0.3666,2.313429,40.825577,6980.660784,69.80657,0.0,0.5,0.074422,0.986979
7.0,0.0982,20.980245,40.825577,6980.660786,69.80657,0.0,0.5,0.023283,0.994392
8.0,0.3516,3.158731,40.825577,6980.660789,69.80657,0.0,0.5,0.025908,0.995585
9.0,0.2614,2.571958,40.825577,6980.660791,69.80657,0.0,0.5,0.021222,0.99618
10.0,0.3922,3.575657,40.825577,6980.660794,69.80657,0.0,0.5,0.013104,0.996125
11.0,0.2385,4.684242,40.825577,6980.660797,69.80657,0.0,0.5,0.021581,0.994933
12.0,0.4362,3.123012,40.825577,6980.6608,69.80657,0.0,0.5,0.018727,0.99511
13.0,0.3898,5.944454,40.825577,6980.660802,69.80657,0.0,0.5,0.014451,0.996559
14.0,0.2761,7.476077,40.825577,6980.660805,69.80657,0.0,0.5,0.003382,0.999173
15.0,0.1832,9.179848,40.825577,6980.660808,69.80657,0.0,0.5,0.015216,0.996945
16.0,0.3666,5.314987,40.825577,6980.660811,69.80657,0.0,0.5,0.002843,0.999392
17.0,0.5713,3.153479,40.825577,6980.660817,69.80657,0.0,0.5,0.00567,0.998621
18.0,0.5369,4.580919,40.825577,6980.660822,69.80657,0.0,0.5,0.010854,0.997468
19.0,0.5503,4.457713,40.825577,6980.660825,69.80657,0.0,0.5,0.001125,0.999762
20.0,0.5898,4.292438,40.825577,6980.660829,69.80657,0.0,0.5,0.001374,0.999669
21.0,0.5673,5.292728,40.825577,6980.660832,69.80657,0.0,0.5,0.011478,0.997961
22.0,0.5669,4.385155,40.825577,6980.660836,69.80657,0.0,0.5,0.000747,0.999834
23.0,0.4667,5.422562,40.825577,6980.66084,69.80657,0.0,0.5,0.015991,0.997393
24.0,0.5807,4.660074,40.825577,6980.660843,69.80657,0.0,0.5,0.00137,0.999627
25.0,0.426,6.650656,40.825577,6980.660848,69.80657,0.0,0.5,0.016054,0.99738
26.0,0.4974,5.997011,40.825577,6980.660852,69.80657,0.0,0.5,0.003283,0.999123
27.0,0.5093,4.964159,40.825577,6980.660856,69.80657,0.0,0.5,0.012769,0.997846
28.0,0.4784,7.284001,40.825577,6980.66086,69.80657,0.0,0.5,0.019632,0.996588
29.0,0.5524,3.256594,40.825577,6980.660864,69.80657,0.0,0.5,0.001878,0.999664
30.0,0.5897,4.165976,40.825577,6980.660869,69.80657,0.0,0.5,0.006434,0.998678
31.0,0.3602,9.814122,40.825577,6980.660873,69.80657,0.0,0.5,0.018304,0.996753
