Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.1258,2.411160112762451,18.4210205078125,18.23442316055298,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
2,0.1132,2.3413140174865723,36.842041015625,34.47741723060608,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
3,0.1322,2.32795433883667,55.2630615234375,54.32999134063721,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
4,0.162,2.2694009159088133,73.68408203125,71.9089925289154,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
5,0.1947,2.1218392860412596,92.1051025390625,89.49033856391907,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
6,0.2601,2.0730194862365723,110.526123046875,103.44007849693298,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
7,0.2276,2.1453586765289305,128.9471435546875,121.12135887145996,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
8,0.2962,2.024398120880127,147.3681640625,139.29314184188843,0.075,0.8,OORT_SIM,CIFAR10,50,0.01
9,0.2344,2.0653771686553957,165.7891845703125,155.44275641441345,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
10,0.2268,2.0599265907287596,184.210205078125,172.72559690475464,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
11,0.3248,1.9199498908996582,202.6312255859375,191.43467783927917,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
12,0.3701,1.8416724716186523,221.05224609375,208.92851328849792,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
13,0.3212,1.8874821340560912,239.4732666015625,228.46518659591675,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
14,0.3744,1.8123489421844483,257.894287109375,243.92674803733826,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
15,0.3053,1.8509684719085693,276.3153076171875,261.10239005088806,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
16,0.3401,1.8369536821365355,294.736328125,278.6156620979309,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
17,0.3447,1.8078890600204467,313.1573486328125,294.270898103714,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
18,0.358,1.7838437574386596,331.578369140625,313.4798786640167,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
19,0.3428,1.7739241411209106,349.9993896484375,330.68185472488403,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
20,0.3686,1.7806860193252563,368.42041015625,347.53286695480347,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
21,0.3657,1.7798228096008302,386.8414306640625,367.5099549293518,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
22,0.3471,1.8000965873718262,405.262451171875,382.7768294811249,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
23,0.4367,1.6479228052139283,423.6834716796875,402.76262497901917,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
24,0.4192,1.6410579126358031,442.1044921875,418.74993228912354,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
25,0.431,1.6102291496276855,460.5255126953125,437.6024353504181,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
26,0.4218,1.6483761867523192,478.946533203125,457.539892911911,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
27,0.4592,1.5549014553070069,497.3675537109375,474.73387694358826,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
28,0.4143,1.6354279907226563,515.78857421875,492.5991015434265,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
29,0.4217,1.6422529907226562,534.2095947265625,509.5168249607086,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
30,0.3832,1.7082380659103393,552.630615234375,526.0506119728088,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
31,0.4453,1.5679249250411986,571.0516357421875,544.7177200317383,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
32,0.4012,1.6564550746917726,589.47265625,562.4554228782654,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
33,0.4482,1.5326449548721313,607.8936767578125,579.5390188694,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
34,0.4452,1.5966767574310303,626.314697265625,597.0523886680603,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
35,0.4673,1.5023796571731567,644.7357177734375,618.081335067749,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
36,0.4396,1.5967950382232665,663.15673828125,633.9266321659088,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
37,0.443,1.531218705368042,681.5777587890625,650.770961523056,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
