Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
38,0.4693,1.4813633197784424,699.998779296875,669.0086674690247,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
39,0.4175,1.6099742029190063,718.4197998046875,682.7928829193115,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
40,0.4549,1.5185525026321411,736.8408203125,699.9154360294342,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
41,0.4508,1.4928371770858764,755.2618408203125,717.3650953769684,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
42,0.4426,1.5347130908966065,773.682861328125,732.8962068557739,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
43,0.4534,1.502616445350647,792.1038818359375,749.8459377288818,0.225,0.8,OORT_SIM,CIFAR10,50,0.01
44,0.4802,1.4537221948623658,810.52490234375,765.6546053886414,0.2,0.8,OORT_SIM,CIFAR10,50,0.01
45,0.4769,1.4582144916534423,828.9459228515625,780.16730427742,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
46,0.4585,1.4989870939254761,847.366943359375,796.9434127807617,0.175,0.8,OORT_SIM,CIFAR10,50,0.01
47,0.4405,1.5330423196792602,865.7879638671875,812.848105430603,0.125,0.8,OORT_SIM,CIFAR10,50,0.01
48,0.4605,1.5654432834625245,884.208984375,830.5463600158691,0.15,0.8,OORT_SIM,CIFAR10,50,0.01
49,0.4694,1.4728538738250732,902.6300048828125,847.9897358417511,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
50,0.4573,1.5393210886001587,921.051025390625,866.8458404541016,0.1,0.8,OORT_SIM,CIFAR10,50,0.01
