Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
27,0.6593,1.0934904609680176,99.4735107421875,453.74032497406006,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
28,0.6519,1.0680529011726378,103.15771484375,470.508252620697,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
29,0.6652,1.0806918352127075,106.8419189453125,487.80097246170044,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
30,0.6657,1.0822688495635986,110.526123046875,506.4809226989746,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
31,0.661,1.1185146195411682,114.2103271484375,525.1422877311707,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
32,0.6535,1.1674119181632996,117.89453125,543.2583696842194,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
33,0.6487,1.126671035194397,121.5787353515625,558.8914129734039,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
34,0.6563,1.1527170774459838,125.262939453125,576.6645784378052,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
35,0.6632,1.1490451468467713,128.9471435546875,594.9662456512451,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
36,0.6611,1.159996785736084,132.63134765625,611.6042966842651,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
37,0.6662,1.1651767507553101,136.3155517578125,628.6934139728546,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
38,0.6511,1.2503150285720825,139.999755859375,645.8129167556763,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
39,0.6546,1.2224090732574462,143.6839599609375,663.9310615062714,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
40,0.6471,1.2595808855056763,147.3681640625,681.8693671226501,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
41,0.6597,1.1900866903305054,151.0523681640625,698.6240994930267,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
42,0.6587,1.1981944501876831,154.736572265625,715.4119410514832,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
43,0.6483,1.286354780101776,158.4207763671875,733.4255485534668,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
44,0.6515,1.230511131477356,162.10498046875,748.201952457428,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
45,0.6476,1.3339597529411316,165.7891845703125,764.8410062789917,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
46,0.6528,1.3013817667007446,169.473388671875,782.6342198848724,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
47,0.6491,1.2961868907928467,173.1575927734375,800.0341782569885,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
48,0.6473,1.361431849861145,176.841796875,817.3549239635468,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
49,0.6504,1.350334352684021,180.5260009765625,834.3133933544159,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
50,0.638,1.3926839128494262,184.210205078125,848.459109544754,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
