Round,Test Accuracy,Test Loss,Comm Cost (MB),Elapsed (s),Straggler Ratio,Participation Rate,Strategy,Dataset,Clients,Alpha
1,0.3168,1.983505888748169,3.6842041015625,14.663716793060303,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
2,0.4458,1.5362255634307862,7.368408203125,30.039281845092773,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
3,0.5193,1.344364443588257,11.0526123046875,46.50729489326477,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
4,0.5825,1.1952560064315796,14.73681640625,60.9837851524353,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
5,0.6031,1.1322312110900878,18.4210205078125,76.38318538665771,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
6,0.6067,1.1029221137046814,22.105224609375,92.06295156478882,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
7,0.6228,1.071312199306488,25.7894287109375,108.69607281684875,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
8,0.6283,1.0530747608184814,29.4736328125,126.0649733543396,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
9,0.6382,1.039887531852722,33.1578369140625,143.48922419548035,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
10,0.6465,1.0176382431030273,36.842041015625,162.1746530532837,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
11,0.6328,1.0340209243774414,40.5262451171875,177.74569940567017,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
12,0.6526,0.9912623940467834,44.21044921875,192.22016167640686,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
13,0.6474,1.0079013223648072,47.8946533203125,209.2719271183014,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
14,0.6615,0.9824174772262573,51.578857421875,226.45240235328674,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
15,0.662,0.9814327569961547,55.2630615234375,243.78079271316528,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
16,0.662,0.9921254835128784,58.947265625,261.29187774658203,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
17,0.6644,0.9882448541641236,62.6314697265625,279.3099946975708,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
18,0.6702,0.9801851613998414,66.315673828125,296.34647488594055,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
19,0.6681,0.976115025138855,69.9998779296875,314.8496091365814,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
20,0.6515,1.0582209554672242,73.68408203125,332.2307722568512,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
21,0.6631,1.008525571346283,77.3682861328125,346.7809798717499,0.25,0.8,OORT_SIM,CIFAR10,10,0.5
22,0.658,1.059981381034851,81.052490234375,365.6190073490143,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
23,0.6562,1.0766536630630492,84.7366943359375,382.83843064308167,0.0,0.8,OORT_SIM,CIFAR10,10,0.5
24,0.6584,1.028330805683136,88.4208984375,399.3239367008209,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
25,0.6577,1.0901361049652099,92.1051025390625,418.0967814922333,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
26,0.6564,1.084048634147644,95.789306640625,435.4242434501648,0.125,0.8,OORT_SIM,CIFAR10,10,0.5
