round,accuracy,loss,strategy,dataset,num_clients,alpha,comm_cost_mb,Strategy,straggler_ratio
0,0.0769,2.311111873245239,OORT,MNIST,10,1,16.084365844726562,Oort,0.6
1,0.9735,0.09182836674898863,OORT,MNIST,10,1,32.168731689453125,Oort,0.6
2,0.9852,0.044355617002071815,OORT,MNIST,10,1,48.25309753417969,Oort,0.4
3,0.9876,0.03801433353788452,OORT,MNIST,10,1,64.33746337890625,Oort,0.6
4,0.9897,0.031738672231082454,OORT,MNIST,10,1,80.42182922363281,Oort,0.6
5,0.9892,0.032430314740911126,OORT,MNIST,10,1,96.50619506835938,Oort,0.2
6,0.9915,0.026061385363393492,OORT,MNIST,10,1,112.59056091308594,Oort,0.4
7,0.992,0.024747208391482128,OORT,MNIST,10,1,128.6749267578125,Oort,0.4
8,0.9893,0.03322336846545804,OORT,MNIST,10,1,144.75929260253906,Oort,0.4
9,0.993,0.02509328302643444,OORT,MNIST,10,1,160.84365844726562,Oort,0.4
10,0.9921,0.025286541700859016,OORT,MNIST,10,1,176.9280242919922,Oort,0.4
11,0.9924,0.0253301761588531,OORT,MNIST,10,1,193.01239013671875,Oort,0.4
12,0.9932,0.025014160265048303,OORT,MNIST,10,1,209.0967559814453,Oort,0.4
13,0.9926,0.025926126398808994,OORT,MNIST,10,1,225.18112182617188,Oort,0.4
14,0.9936,0.024745847871193292,OORT,MNIST,10,1,241.26548767089844,Oort,0.4
15,0.9927,0.023929608848315093,OORT,MNIST,10,1,257.349853515625,Oort,0.4
16,0.9929,0.025050358215518282,OORT,MNIST,10,1,273.43421936035156,Oort,0.4
17,0.9935,0.024264398537924718,OORT,MNIST,10,1,289.5185852050781,Oort,0.4
18,0.9935,0.025098416272897158,OORT,MNIST,10,1,305.6029510498047,Oort,0.2
19,0.9931,0.024750932005030517,OORT,MNIST,10,1,321.68731689453125,Oort,0
20,0.9933,0.024436107170453306,OORT,MNIST,10,1,337.7716827392578,Oort,0.2
21,0.9932,0.02581328590402163,OORT,MNIST,10,1,353.8560485839844,Oort,0.2
22,0.9934,0.025620732850812327,OORT,MNIST,10,1,369.94041442871094,Oort,0.4
23,0.9932,0.026515097410308955,OORT,MNIST,10,1,386.0247802734375,Oort,0.6
24,0.9933,0.025495903249687944,OORT,MNIST,10,1,402.10914611816406,Oort,0.4
25,0.994,0.024352220309158564,OORT,MNIST,10,1,418.1935119628906,Oort,0.6
26,0.9933,0.026579795725526857,OORT,MNIST,10,1,434.2778778076172,Oort,0.6
27,0.9928,0.025091343490110923,OORT,MNIST,10,1,450.36224365234375,Oort,0.6
28,0.9926,0.025602941084883025,OORT,MNIST,10,1,466.4466094970703,Oort,0.4
29,0.993,0.025106296126075154,OORT,MNIST,10,1,482.5309753417969,Oort,0.6
30,0.993,0.02521909122299692,OORT,MNIST,10,1,498.61534118652344,Oort,0.6
31,0.9929,0.024514024663983558,OORT,MNIST,10,1,514.69970703125,Oort,0.4
32,0.9932,0.024771581682049862,OORT,MNIST,10,1,530.7840728759766,Oort,0.4
33,0.993,0.024844929557356947,OORT,MNIST,10,1,546.8684387207031,Oort,0.6
34,0.992,0.02770276445153428,OORT,MNIST,10,1,562.9528045654297,Oort,0.2
35,0.9928,0.026870034186179673,OORT,MNIST,10,1,579.0371704101562,Oort,0.4
36,0.9931,0.024566920502010897,OORT,MNIST,10,1,595.1215362548828,Oort,0.4
37,0.9927,0.027390262522199543,OORT,MNIST,10,1,611.2059020996094,Oort,0.4
38,0.9931,0.0267783321873776,OORT,MNIST,10,1,627.2902679443359,Oort,0.4
39,0.9927,0.02736891080850263,OORT,MNIST,10,1,643.3746337890625,Oort,0.4
40,0.993,0.026227764119366476,OORT,MNIST,10,1,659.4589996337891,Oort,0.6
41,0.9926,0.02781003653883886,OORT,MNIST,10,1,675.5433654785156,Oort,0.4
42,0.9932,0.02595151580568872,OORT,MNIST,10,1,691.6277313232422,Oort,0.4
43,0.9929,0.027924180661604976,OORT,MNIST,10,1,707.7120971679688,Oort,0.4
44,0.9929,0.029460381853645832,OORT,MNIST,10,1,723.7964630126953,Oort,0.6
45,0.9924,0.02859725843248159,OORT,MNIST,10,1,739.8808288574219,Oort,0.4
46,0.9938,0.02712557055710476,OORT,MNIST,10,1,755.9651947021484,Oort,0.6
47,0.993,0.0297130285750787,OORT,MNIST,10,1,772.049560546875,Oort,0.4
48,0.9931,0.029710722999184865,OORT,MNIST,10,1,788.1339263916016,Oort,0.4
49,0.9935,0.027052436199082854,OORT,MNIST,10,1,804.2182922363281,Oort,0.6
50,0.9936,0.02813655205798967,OORT,MNIST,10,1,820.3026580810547,Oort,0.4
